"ActualValue","Commandlet","Criticality","PolicyId","ReportDetails","RequirementMet"
"[{""value"":[{""domain"":""tqhjy.onmicrosoft.com"",""log"":[""@{query_method=traditional; query_name=selector1._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned NXDomain}"",""@{query_method=DoH; query_name=selector1._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=DoH; query_name=selector1._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=traditional; query_name=selector2._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned NXDomain}"",""@{query_method=DoH; query_name=selector2._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=DoH; query_name=selector2._domainkey.tqhjy.onmicrosoft.com; query_result=Query resulted in exception, WebCmdletWebResponseException,Microsoft.PowerShell.Commands.InvokeWebRequestCommand}"",""@{query_method=traditional; query_name=selector1-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com; query_result=Query returned 2 txt records}""],""rdata"":[""v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAn/z5b0VYtWAnksnJLIo1HiKP5j0sTa93y6eIe7eRn3EfCMfnw4f0Ew6wmX/2NIsszvF0XG0mkdffCVsUa5WnzDvfhR5fkSMqGI/I4JaR+b8qHdNToVesTbk/kFv+j41TcxWgJw1j4Xeo6URJG6qx1ujh6zshr21/frskm/tq7Qlp7LpQn1uiHDO2g1If9tlvK"",""RxOzxMV8ldzIjU4MKsLlUDLIj/LjezemQXiPsZqrMOe0Kqs3Tusv6IoWKaQpiiooIhsH+0fI2JXyjJu7623jOIAuDtl7YHdR6cC7umMq44tAgEL9Uf8IHv02FoM0B3nSIzs9ier9X4E0/OtjE6h3QIDAQAB;""]}],""Count"":1},{""value"":[{""AdminDisplayName"":"""",""Algorithm"":""RsaSHA256"",""BodyCanonicalization"":""Relaxed"",""DistinguishedName"":""CN=tqhjy.onmicrosoft.com,CN=Dkim Signing config,CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""Domain"":""tqhjy.onmicrosoft.com"",""Enabled"":true,""ExchangeObjectId"":""fb79c5bd-5649-4eb7-b427-75269be69fbc"",""ExchangeVersion"":""0.20 (15.0.0.0)"",""Guid"":""fb79c5bd-5649-4eb7-b427-75269be69fbc"",""HeaderCanonicalization"":""Relaxed"",""Id"":""tqhjy.onmicrosoft.com"",""Identity"":""tqhjy.onmicrosoft.com"",""IncludeKeyExpiration"":false,""IncludeSignatureCreationTime"":true,""IsDefault"":true,""IsValid"":true,""KeyCreationTime"":""/Date(1695667530411)/"",""LastChecked"":""/Date(1695667844265)/"",""Name"":""tqhjy.onmicrosoft.com"",""NumberOfBytesToSign"":""All"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Hosted-Content-Filter-Config"",""ObjectClass"":[""top"",""msExchHostedContentFilterConfig""],""ObjectState"":""Unchanged"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""RotateOnDate"":""/Date(1695667530411)/"",""Selector1CNAME"":""selector1-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com"",""Selector1KeySize"":2048,""Selector1PublicKey"":""v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAn/z5b0VYtWAnksnJLIo1HiKP5j0sTa93y6eIe7eRn3EfCMfnw4f0Ew6wmX/2NIsszvF0XG0mkdffCVsUa5WnzDvfhR5fkSMqGI/I4JaR+b8qHdNToVesTbk/kFv+j41TcxWgJw1j4Xeo6URJG6qx1ujh6zshr21/frskm/tq7Qlp7LpQn1uiHDO2g1If9tlvKRxOzxMV8ldzIjU4MKsLlUDLIj/LjezemQXiPsZqrMOe0Kqs3Tusv6IoWKaQpiiooIhsH+0fI2JXyjJu7623jOIAuDtl7YHdR6cC7umMq44tAgEL9Uf8IHv02FoM0B3nSIzs9ier9X4E0/exampleQIDAQAB;"",""Selector2CNAME"":""selector2-tqhjy-onmicrosoft-com._domainkey.tqhjy.onmicrosoft.com"",""Selector2KeySize"":2048,""Selector2PublicKey"":""v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAyVK8DFIgYjps1Ckt4UjOQiBMqpb9G1WiwIci61Amx0sQzZTD8xb8rRSboEm89e5WRChcpZe7FN7XveJtbWYHmp4+e4niN5wGHaDt7NoCdTQ6dgRdyPa0d4Yf8si1uYYu7iC4LkQMI/zSLAQAQWEEHKqqJPHoAAbyKEuj8vynlWGsCAaprqOjyPqciy4YfcYd5ZISmpY5yJ/FNIrc2FeZjSPb65XzYMtgTbP9xC7lK6kGnBJDKqHaccXhVyvkl39AX4VkMzuVTlZbr120T+zMFDLNCJeNMBabl8JcrL0OYRule+75C3bPO4u/cZ1TmAGknX7apzvavEK2ByexampleQIDAQAB;"",""SelectorAfterRotateOnDate"":""selector1"",""SelectorBeforeRotateOnDate"":""selector2"",""Status"":""Valid"",""WhenChanged"":""/Date(1695667854000)/"",""WhenChangedUTC"":""/Date(1695667854000)/"",""WhenCreated"":""/Date(1695667530000)/"",""WhenCreatedUTC"":""/Date(1695667530000)/""}],""Count"":1}]","Get-DkimSigningConfig, Get-ScubaDkimRecords, Get-AcceptedDomain","Should","MS.EXO.3.1v1","Requirement met","True"
"{""AddressBookPolicyRoutingEnabled"":false,""AdminDisplayName"":"""",""AgentGeneratedMessageLoopDetectionInSmtpEnabled"":true,""AgentGeneratedMessageLoopDetectionInSubmissionEnabled"":true,""AllowLegacyTLSClients"":false,""AnonymousSenderToRecipientRatePerHour"":1800,""AttributionRejectBeforeMServRequest"":false,""AttributionRejectConsumerMessages"":false,""ClearCategories"":true,""ConvertDisclaimerWrapperToEml"":false,""ConvertReportToMessage"":false,""CurrentTransportSystemState"":""Green"",""DSNConversionMode"":""PreserveDSNBody"",""DiagnosticsAggregationServicePort"":9710,""DistinguishedName"":""CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""EnableExternalHTTPMailDelivery"":false,""ExchangeObjectId"":""b4f29764-fa61-4718-ac8d-29e1ad3007b9"",""ExchangeVersion"":""0.1 (8.0.535.0)"",""ExternalDelayDsnEnabled"":true,""ExternalDsnDefaultLanguage"":null,""ExternalDsnLanguageDetectionEnabled"":true,""ExternalDsnMaxMessageAttachSize"":""10 MB (10,485,760 bytes)"",""ExternalDsnReportingAuthority"":null,""ExternalDsnSendHtml"":true,""ExternalPostmasterAddress"":null,""GenerateCopyOfDSNFor"":[],""Guid"":""b4f29764-fa61-4718-ac8d-29e1ad3007b9"",""HeaderPromotionModeSetting"":""NoCreate"",""HygieneSuite"":""Premium"",""Id"":""Transport Settings"",""Identity"":""Transport Settings"",""InternalDelayDsnEnabled"":true,""InternalDsnDefaultLanguage"":null,""InternalDsnLanguageDetectionEnabled"":true,""InternalDsnMaxMessageAttachSize"":""10 MB (10,485,760 bytes)"",""InternalDsnReportingAuthority"":null,""InternalDsnSendHtml"":true,""InternalSMTPServers"":[],""IsValid"":true,""JournalArchivingEnabled"":false,""JournalMessageExpirationDays"":0,""JournalReportDLMemberSubstitutionEnabled"":false,""JournalingReportNdrTo"":""u003cu003e"",""LegacyArchiveJournalingEnabled"":false,""LegacyArchiveLiveJournalingEnabled"":false,""LegacyJournalingMigrationEnabled"":false,""MaxAllowedAgentGeneratedMessageDepth"":3,""MaxAllowedAgentGeneratedMessageDepthPerAgent"":2,""MaxDumpsterSizePerDatabase"":""18 MB (18,874,368 bytes)"",""MaxDumpsterTime"":""7.00:00:00"",""MaxReceiveSize"":""Unlimited"",""MaxRecipientEnvelopeLimit"":""Unlimited"",""MaxSendSize"":""Unlimited"",""MessageExpiration"":""1.00:00:00"",""MigrationEnabled"":true,""Name"":""Transport Settings"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Transport-Settings"",""ObjectClass"":[""top"",""container"",""msExchTransportSettings""],""ObjectState"":""Unchanged"",""OpenDomainRoutingEnabled"":false,""OrganizationFederatedMailbox"":""FederatedEmail.4c1f4d8b-8179-4148-93bf-00a95fa1e042@tqhjy.onmicrosoft.com"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""OtherWellKnownObjects"":[],""PreserveReportBodypart"":true,""QueueDiagnosticsAggregationInterval"":""00:01:00"",""RedirectDLMessagesForLegacyArchiveJournaling"":false,""RedirectUnprovisionedUserMessagesForLegacyArchiveJournaling"":false,""ReplyAllStormBlockDurationHours"":6,""ReplyAllStormDetectionMinimumRecipients"":2500,""ReplyAllStormDetectionMinimumReplies"":10,""ReplyAllStormProtectionEnabled"":true,""Rfc2231EncodingEnabled"":false,""SafetyNetHoldTime"":""7.00:00:00"",""SmtpClientAuthenticationDisabled"":true,""SupervisionTags"":[""Reject"",""Allow""],""TLSReceiveDomainSecureList"":[],""TLSSendDomainSecureList"":[],""TransportRuleAttachmentTextScanLimit"":""1 MB (1,048,576 bytes)"",""TransportRuleCollectionAddedRecipientsLimit"":100,""TransportRuleCollectionRegexCharsLimit"":""20 KB (20,480 bytes)"",""TransportRuleConfig"":[""TransportRuleMinProductVersion:14.0.0.0"",""TransportRuleRegexValidationTimeout:00:00:00.3000000"",""TransportRuleAttachmentTextScanLimit:1 MB (1,048,576 bytes)"",""TransportRuleSizeLimit:8 KB (8,192 bytes)"",""TransportRuleCollectionRegexCharsLimit:20 KB (20,480 bytes)"",""TransportRuleLimit:300"",""TransportRuleCollectionAddedRecipientsLimit:100""],""TransportRuleLimit"":300,""TransportRuleMinProductVersion"":{""Build"":0,""Major"":14,""MajorRevision"":0,""Minor"":0,""MinorRevision"":0,""Revision"":0},""TransportRuleRegexValidationTimeout"":""00:00:00.3000000"",""TransportRuleSizeLimit"":""8 KB (8,192 bytes)"",""TransportSystemState"":"""",""VerifySecureSubmitEnabled"":false,""VoicemailJournalingEnabled"":true,""WhenChanged"":""/Date(1698263512000)/"",""WhenChangedUTC"":""/Date(1698263512000)/"",""WhenCreated"":""/Date(1643059670000)/"",""WhenCreatedUTC"":""/Date(1643059670000)/"",""Xexch50Enabled"":true}","Get-TransportConfig","Shall","MS.EXO.5.1v1","Requirement met","True"
"{""AdminDisplayName"":"""",""Default"":true,""DistinguishedName"":""CN=Default Sharing Policy,CN=Federation,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""Domains"":[""ted.com:CalendarSharingFreeBusyReviewer""],""Enabled"":true,""ExchangeObjectId"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""ExchangeVersion"":""0.10 (14.0.100.0)"",""Guid"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""Id"":""Default Sharing Policy"",""Identity"":""Default Sharing Policy"",""IsValid"":true,""Name"":""Default Sharing Policy"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Sharing-Policy"",""ObjectClass"":[""top"",""msExchSharingPolicy""],""ObjectState"":""Changed"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1698263628000)/"",""WhenChangedUTC"":""/Date(1698263628000)/"",""WhenCreated"":""/Date(1645650752000)/"",""WhenCreatedUTC"":""/Date(1645650752000)/""}","Get-SharingPolicy","Shall","MS.EXO.6.1v1","Requirement met","True"
"{""AdminDisplayName"":"""",""Default"":true,""DistinguishedName"":""CN=Default Sharing Policy,CN=Federation,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""Domains"":[""ted.com:CalendarSharingFreeBusyReviewer""],""Enabled"":true,""ExchangeObjectId"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""ExchangeVersion"":""0.10 (14.0.100.0)"",""Guid"":""2f1ca8cf-5ba5-45e3-b73a-1405ff552a2e"",""Id"":""Default Sharing Policy"",""Identity"":""Default Sharing Policy"",""IsValid"":true,""Name"":""Default Sharing Policy"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Sharing-Policy"",""ObjectClass"":[""top"",""msExchSharingPolicy""],""ObjectState"":""Changed"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1698263628000)/"",""WhenChangedUTC"":""/Date(1698263628000)/"",""WhenCreated"":""/Date(1645650752000)/"",""WhenCreatedUTC"":""/Date(1645650752000)/""}","Get-SharingPolicy","Shall","MS.EXO.6.2v1","Requirement met","True"
"{""AdminDisplayName"":"""",""DirectoryBasedEdgeBlockMode"":""Default"",""DistinguishedName"":""CN=Default,CN=Hosted Connection Filter,CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""EnableSafeList"":false,""ExchangeObjectId"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""ExchangeVersion"":""0.20 (15.0.0.0)"",""Guid"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""IPAllowList"":[],""IPBlockList"":[],""Id"":""Default"",""Identity"":""Default"",""IsDefault"":true,""IsValid"":true,""Name"":""Default"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Hosted-Connection-Filter-Policy"",""ObjectClass"":[""top"",""msExchHostedConnectionFilterPolicy""],""ObjectState"":""Unchanged"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1698264567000)/"",""WhenChangedUTC"":""/Date(1698264567000)/"",""WhenCreated"":""/Date(1645650828000)/"",""WhenCreatedUTC"":""/Date(1645650828000)/""}","Get-HostedConnectionFilterPolicy","Should","MS.EXO.12.1v1","Requirement met","True"
"{""AdminDisplayName"":"""",""DirectoryBasedEdgeBlockMode"":""Default"",""DistinguishedName"":""CN=Default,CN=Hosted Connection Filter,CN=Transport Settings,CN=Configuration,CN=tqhjy.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A008,DC=PROD,DC=OUTLOOK,DC=COM"",""EnableSafeList"":false,""ExchangeObjectId"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""ExchangeVersion"":""0.20 (15.0.0.0)"",""Guid"":""3843aef3-f3bd-49c1-a674-4d6741ac11b6"",""IPAllowList"":[],""IPBlockList"":[],""Id"":""Default"",""Identity"":""Default"",""IsDefault"":true,""IsValid"":true,""Name"":""Default"",""ObjectCategory"":""NAMPR10A008.PROD.OUTLOOK.COM/Configuration/Schema/ms-Exch-Hosted-Connection-Filter-Policy"",""ObjectClass"":[""top"",""msExchHostedConnectionFilterPolicy""],""ObjectState"":""Unchanged"",""OrganizationId"":""NAMPR10A008.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/tqhjy.onmicrosoft.com - NAMPR10A008.PROD.OUTLOOK.COM/ConfigurationUnits/tqhjy.onmicrosoft.com/Configuration"",""OrganizationalUnitRoot"":""tqhjy.onmicrosoft.com"",""OriginatingServer"":""CY4PR10A08DC001.NAMPR10A008.PROD.OUTLOOK.COM"",""WhenChanged"":""/Date(1698264567000)/"",""WhenChangedUTC"":""/Date(1698264567000)/"",""WhenCreated"":""/Date(1645650828000)/"",""WhenCreatedUTC"":""/Date(1645650828000)/""}","Get-HostedConnectionFilterPolicy","Should","MS.EXO.12.2v1","Requirement met","True"
"{""AuditDisabled"":false,""DisplayName"":""tqhjy"",""Name"":""tqhjy.onmicrosoft.com""}","Get-OrganizationConfig","Shall","MS.EXO.13.1v1","Requirement met","True"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned 1 txt records""}],""rdata"":[""v=DMARC1; p=reject; pct=100; rua=mailto:reports@dmarc.cyber.dhs.gov, mailto:reports@example.com; ruf=mailto:reports@example.com""]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","Shall","MS.EXO.4.1v1","Requirement met","True"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned 1 txt records""}],""rdata"":[""v=DMARC1; p=reject; pct=100; rua=mailto:reports@dmarc.cyber.dhs.gov, mailto:reports@example.com; ruf=mailto:reports@example.com""]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","Shall","MS.EXO.4.2v1","Requirement met","True"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned 1 txt records""}],""rdata"":[""v=DMARC1; p=reject; pct=100; rua=mailto:reports@dmarc.cyber.dhs.gov, mailto:reports@example.com; ruf=mailto:reports@example.com""]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","Shall","MS.EXO.4.3v1","Requirement met","True"
"{""domain"":""tqhjy.onmicrosoft.com"",""log"":[{""query_method"":""traditional"",""query_name"":""_dmarc.tqhjy.onmicrosoft.com"",""query_result"":""Query returned 1 txt records""}],""rdata"":[""v=DMARC1; p=reject; pct=100; rua=mailto:reports@dmarc.cyber.dhs.gov, mailto:reports@example.com; ruf=mailto:reports@example.com""]}","Get-ScubaDmarcRecords, Get-AcceptedDomain","Should","MS.EXO.4.4v1","Requirement met","True"
,"Get-RemoteDomain","Shall","MS.EXO.1.1v1","Requirement met","True"
,"Get-ScubaSpfRecords, Get-AcceptedDomain","Shall","MS.EXO.2.2v1","Requirement met","True"
"false","Get-PowerAppTenantIsolationPolicy","Shall","MS.POWERPLATFORM.3.1v1","Requirement met","True"
"true","Get-TenantSettings","Shall","MS.POWERPLATFORM.1.1v1","Requirement met","True"
"true","Get-TenantSettings","Shall","MS.POWERPLATFORM.1.2v1","Requirement met","True"
"true","Get-TenantSettings","Should","MS.POWERPLATFORM.5.1v1","Requirement met","True"
,"","Shall/Not-Implemented","MS.POWERPLATFORM.4.1v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/powerplatform.md#mspowerplatform41v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"","Should/Not-Implemented","MS.POWERPLATFORM.3.2v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/powerplatform.md#mspowerplatform32v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
,"Get-DlpPolicy","Should","MS.POWERPLATFORM.2.2v1","Requirement met","True"
,"Get-DlpPolicy","Should","MS.POWERPLATFORM.2.3v1","Requirement met","True"
"{""PolicyName"":""DLP functional test""}","Get-DlpPolicy","Shall","MS.POWERPLATFORM.2.1v1","Requirement met","True"
,"","Shall/Not-Implemented","MS.SHAREPOINT.4.1v1","Not currently checked automatically. See <a href=""https://github.com/cisagov/ScubaGear/blob/v1.0.0/baselines/sharepoint.md#mssharepoint41v1"" target=""_blank"">Secure Configuration Baseline policy</a> for instructions on manual check","False"
"[true,1]","Get-SPOTenant, Get-PnPTenant","Shall","MS.SHAREPOINT.1.4v1","Requirement met","True"
"[0,1]","Get-SPOTenant, Get-PnPTenant","Shall","MS.SHAREPOINT.1.3v1","Requirement not met: Note that we currently only check for approved external domains. Approved security groups are currently not being checked, see the baseline policy for instructions on a manual check","False"
"1","Get-SPOTenant, Get-PnPTenant","Shall","MS.SHAREPOINT.2.2v1","Requirement met","True"
"1","Get-SPOTenant, Get-PnPTenant","Should","MS.SHAREPOINT.1.1v1","Requirement not met","False"
"[1,true,30]","Get-SPOTenant, Get-PnPTenant","Should","MS.SHAREPOINT.3.3v1","Requirement met","True"
"[1,1]","Get-SPOTenant, Get-PnPTenant","Should","MS.SHAREPOINT.3.2v1","Requirement met","True"
"[1,30]","Get-SPOTenant, Get-PnPTenant","Should","MS.SHAREPOINT.3.1v1","Requirement met","True"
"2","Get-SPOSite, Get-PnPTenantSite","Shall","MS.SHAREPOINT.4.2v1","Requirement met","True"
"3","Get-SPOTenant, Get-PnPTenant","Shall","MS.SHAREPOINT.2.1v1","Requirement not met","False"
"3","Get-SPOTenant, Get-PnPTenant","Should","MS.SHAREPOINT.1.2v1","Requirement met","True"
"false","Get-CsTeamsMeetingPolicy","Should","MS.TEAMS.1.6v1","Requirement met","True"
"""EveryoneInCompanyExcludingGuests""","Get-CsTeamsMeetingPolicy","Should","MS.TEAMS.1.4v1","Requirement met","True"
"""UserOverride""","Get-CsTeamsMeetingBroadcastPolicy","Should","MS.TEAMS.1.7v1","Requirement met","True"
,"","Shall/3rd Party","MS.TEAMS.6.1v1","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of ScubaGear. Otherwise, use a 3rd party tool OR manually check","False"
,"","Should/3rd Party","MS.TEAMS.6.2v1","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of ScubaGear. Otherwise, use a 3rd party tool OR manually check","False"
,"","Should/3rd Party","MS.TEAMS.7.1v1","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of ScubaGear. Otherwise, use a 3rd party tool OR manually check","False"
,"","Should/3rd Party","MS.TEAMS.7.2v1","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of ScubaGear. Otherwise, use a 3rd party tool OR manually check","False"
,"","Should/3rd Party","MS.TEAMS.8.1v1","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of ScubaGear. Otherwise, use a 3rd party tool OR manually check","False"
,"","Should/3rd Party","MS.TEAMS.8.2v1","Custom implementation allowed. If you are using Defender to fulfill this requirement, run the Defender version of ScubaGear. Otherwise, use a 3rd party tool OR manually check","False"
"[""EveryoneInCompanyExcludingGuests"",false]","Get-CsTeamsMeetingPolicy","Should","MS.TEAMS.1.3v1","Requirement met","True"
"{""AssignedPlans"":""MCOProfessional, Teams, MCOEV"",""ClientConfig"":[{""AllowBox"":false,""AllowDropBox"":false,""AllowEgnyte"":false,""AllowEmailIntoChannel"":false,""AllowGoogleDrive"":false,""AllowGuestUser"":true,""AllowOrganizationTab"":true,""AllowResourceAccountSendMessage"":false,""AllowRoleBasedChatPermissions"":false,""AllowScopedPeopleSearchandAccess"":false,""AllowShareFile"":false,""AllowSkypeBusinessInterop"":true,""ContentPin"":""AlwaysRequired"",""DataSource"":null,""Identity"":""Global"",""Key"":{""AuthorityId"":""Class=Tenant;InstanceId=ca08493a-c9c8-4db0-a9e8-d3b4bafac269;XmlRoot="",""DefaultXml"":""SchemaId=;Data=;ConfigObject=;Signature=00000000-0000-0000-0000-000000000000;IsModified=True"",""SchemaId"":""XName="",""ScopeClass"":""Global"",""XmlRoot"":""name={urn:schema:Microsoft.Rtc.Management.ScopeFramework.2008}AnchoredXmlKey""},""ResourceAccountContentAccess"":""FullAccess"",""RestrictedSenderList"":null}]}","Get-CsTeamsClientConfiguration, Get-CsTenant","Shall","MS.TEAMS.4.1v1","Requirement met","True"
,"Get-CsTeamsAppPermissionPolicy","Should","MS.TEAMS.5.1v1","Requirement met","True"
,"Get-CsTeamsAppPermissionPolicy","Should","MS.TEAMS.5.2v1","Requirement met","True"
,"Get-CsTeamsAppPermissionPolicy","Should","MS.TEAMS.5.3v1","Requirement met","True"
,"Get-CsTeamsMeetingPolicy","Shall","MS.TEAMS.1.2v1","Requirement met","True"
,"Get-CsTeamsMeetingPolicy","Should","MS.TEAMS.1.1v1","Requirement met","True"
,"Get-CsTeamsMeetingPolicy","Should","MS.TEAMS.1.5v1","Requirement met","True"
,"Get-CsTenantFederationConfiguration","Shall","MS.TEAMS.2.1v1","Requirement met","True"
,"Get-CsTenantFederationConfiguration","Shall","MS.TEAMS.2.2v1","Requirement met","True"
,"Get-CsTenantFederationConfiguration","Shall","MS.TEAMS.3.1v1","Requirement met","True"
,"Get-CsTenantFederationConfiguration","Should","MS.TEAMS.2.3v1","Requirement met","True"
